Date,ppt (inches),tmean (degrees F)
2012-07-19,0.00,66.5
2012-07-20,0.02,71.1
2012-07-21,0.00,64.2
2012-07-22,0.00,67.3
2012-07-23,0.00,59.2
2012-07-24,0.00,59.8
2012-07-25,0.00,66.6
2012-07-26,0.00,70.3
2012-07-27,0.00,68.7
2012-07-28,0.00,64.7
2012-07-29,0.00,68.1
2012-07-30,0.00,66.2
2012-07-31,0.00,65.1
2012-08-01,0.00,66.3
2012-08-02,0.00,66.4
2012-08-03,0.00,65.5
2012-08-04,0.00,74.5
2012-08-05,0.00,79.6
2012-08-06,0.00,76.3
2012-08-07,0.00,71.3
2012-08-08,0.00,68.6
2012-08-09,0.00,65.0
2012-08-10,0.00,67.8
2012-08-11,0.00,67.8
2012-08-12,0.00,69.8
2012-08-13,0.00,76.6
2012-08-14,0.00,74.5
2012-08-15,0.00,72.5
2012-08-16,0.00,77.0
2012-08-17,0.00,78.3
2012-08-18,0.00,77.0
2012-08-19,0.01,66.9
2012-08-20,0.00,64.7
2012-08-21,0.00,66.3
2012-08-22,0.00,66.1
2012-08-23,0.00,64.1
2012-08-24,0.00,60.8
2012-08-25,0.00,61.9
2012-08-26,0.00,65.2
2012-08-27,0.02,63.3
2012-08-28,0.00,66.4
2012-08-29,0.00,64.0
2012-08-30,0.00,63.1
2012-08-31,0.00,64.4
2012-09-01,0.00,61.2
2012-09-02,0.00,60.4
2012-09-03,0.00,61.2
2012-09-04,0.00,64.4
2012-09-05,0.00,67.2
2012-09-06,0.00,69.4
2012-09-07,0.00,69.8
2012-09-08,0.00,73.5
2012-09-09,0.00,62.6
2012-09-10,0.00,60.6
2012-09-11,0.00,56.0
2012-09-12,0.00,58.1
2012-09-13,0.00,65.8
2012-09-14,0.00,69.1
2012-09-15,0.00,69.1
2012-09-16,0.00,65.5
2012-09-17,0.00,64.1
2012-09-18,0.00,68.0
2012-09-19,0.00,66.0
2012-09-20,0.00,61.0
2012-09-21,0.00,58.4
2012-09-22,0.01,56.7
2012-09-23,0.00,59.5
2012-09-24,0.00,60.6
2012-09-25,0.00,60.4
2012-09-26,0.00,59.2
2012-09-27,0.00,57.2
2012-09-28,0.00,62.6
2012-09-29,0.00,68.6
2012-09-30,0.00,60.7
2012-10-01,0.00,60.8
2012-10-02,0.00,66.1
2012-10-03,0.00,57.2
2012-10-04,0.00,58.1
2012-10-05,0.00,60.1
2012-10-06,0.00,60.3
2012-10-07,0.00,60.0
2012-10-08,0.00,58.3
2012-10-09,0.00,55.0
2012-10-10,0.00,53.4
2012-10-11,0.00,55.0
2012-10-12,0.00,53.1
2012-10-13,1.24,52.2
2012-10-14,0.03,58.9
2012-10-15,0.83,60.2
2012-10-16,0.63,60.3
2012-10-17,0.00,51.7
2012-10-18,0.00,50.8
2012-10-19,0.26,52.6
2012-10-20,0.29,52.5
2012-10-21,0.17,49.0
2012-10-22,0.30,47.4
2012-10-23,0.24,46.9
2012-10-24,0.17,46.4
2012-10-25,0.10,45.7
2012-10-26,0.00,45.4
2012-10-27,0.03,52.6
2012-10-28,0.63,54.8
2012-10-29,1.39,59.9
2012-10-30,0.03,62.0
2012-10-31,0.33,58.7
2012-11-01,0.60,55.1
2012-11-02,0.14,53.4
2012-11-03,0.33,51.4
2012-11-04,0.02,58.6
2012-11-05,0.00,64.0
2012-11-06,0.03,56.7
2012-11-07,0.03,53.8
2012-11-08,0.04,46.3
2012-11-09,0.02,42.3
2012-11-10,0.28,41.6
2012-11-11,0.00,40.5
2012-11-12,0.61,44.1
2012-11-13,0.04,48.9
2012-11-14,0.04,49.3
2012-11-15,0.01,48.0
2012-11-16,0.00,44.7
2012-11-17,0.29,46.5
2012-11-18,1.20,47.9
2012-11-19,1.04,48.5
2012-11-20,2.21,53.9
2012-11-21,0.80,50.3
2012-11-22,0.22,41.8
2012-11-23,0.02,41.3
2012-11-24,0.76,45.9
2012-11-25,0.00,44.0
2012-11-26,0.00,37.4
2012-11-27,0.00,40.9
2012-11-28,0.01,39.5
2012-11-29,0.08,41.8
2012-11-30,0.41,48.5
2012-12-01,0.84,52.9
2012-12-02,0.81,49.4
2012-12-03,0.36,47.3
2012-12-04,0.79,50.6
2012-12-05,0.68,49.9
2012-12-06,0.02,44.3
2012-12-07,0.05,44.2
2012-12-08,0.06,44.6
2012-12-09,0.08,42.6
2012-12-10,0.03,44.5
2012-12-11,0.00,47.6
2012-12-12,0.19,42.6
2012-12-13,0.02,41.3
2012-12-14,0.20,36.9
2012-12-15,0.05,39.3
2012-12-16,0.36,37.3
2012-12-17,1.00,45.6
2012-12-18,0.27,38.7
2012-12-19,0.08,36.2
2012-12-20,0.67,43.9
2012-12-21,0.43,37.1
2012-12-22,0.22,40.1
2012-12-23,0.20,43.3
2012-12-24,0.63,39.9
2012-12-25,0.32,41.3
2012-12-26,0.40,41.8
2012-12-27,0.05,42.3
2012-12-28,0.01,40.8
2012-12-29,0.00,37.3
2012-12-30,0.03,36.3
2012-12-31,0.00,34.8
2013-01-01,0.02,33.4
2013-01-02,0.00,33.5
2013-01-03,0.00,35.0
2013-01-04,0.00,35.2
2013-01-05,0.00,41.4
2013-01-06,0.02,36.7
2013-01-07,0.20,41.1
2013-01-08,0.04,49.1
2013-01-09,0.12,50.1
2013-01-10,0.26,40.1
2013-01-11,0.03,35.1
2013-01-12,0.00,30.6
2013-01-13,0.00,27.0
2013-01-14,0.00,27.2
2013-01-15,0.00,30.9
2013-01-16,0.00,35.4
2013-01-17,0.00,32.8
2013-01-18,0.00,32.8
2013-01-19,0.00,30.1
2013-01-20,0.00,29.1
2013-01-21,0.00,29.8
2013-01-22,0.00,29.2
2013-01-23,0.00,30.8
2013-01-24,0.29,34.4
2013-01-25,0.25,39.4
2013-01-26,0.14,44.4
2013-01-27,0.26,41.2
2013-01-28,0.25,39.3
2013-01-29,0.12,41.7
2013-01-30,0.05,45.1
2013-01-31,0.10,46.6
2013-02-01,0.00,48.0
2013-02-02,0.00,43.1
2013-02-03,0.00,39.2
2013-02-04,0.00,42.7
2013-02-05,0.04,44.5
2013-02-06,0.19,47.0
2013-02-07,0.07,45.6
2013-02-08,0.06,40.6
2013-02-09,0.00,38.2
2013-02-10,0.09,40.0
2013-02-11,0.00,42.7
2013-02-12,0.00,43.6
2013-02-13,0.00,49.6
2013-02-14,0.00,46.6
2013-02-15,0.00,46.6
2013-02-16,0.00,48.1
2013-02-17,0.02,43.1
2013-02-18,0.00,40.4
2013-02-19,0.06,40.2
2013-02-20,0.02,43.3
2013-02-21,0.15,41.2
2013-02-22,0.05,40.7
2013-02-23,0.60,41.4
2013-02-24,0.05,40.6
2013-02-25,0.10,43.3
2013-02-26,0.06,41.9
2013-02-27,0.00,41.6
2013-02-28,0.03,46.6
2013-03-01,0.05,53.0
2013-03-02,0.00,54.4
2013-03-03,0.00,45.3
2013-03-04,0.00,40.2
2013-03-05,0.09,42.7
2013-03-06,0.39,43.9
2013-03-07,0.25,40.5
2013-03-08,0.00,43.6
2013-03-09,0.00,44.5
2013-03-10,0.00,45.3
2013-03-11,0.00,44.1
2013-03-12,0.00,48.9
2013-03-13,0.00,52.3
2013-03-14,0.00,54.9
2013-03-15,0.00,51.8
2013-03-16,0.00,54.6
2013-03-17,0.22,43.7
2013-03-18,0.00,40.7
2013-03-19,0.00,42.6
2013-03-20,0.97,45.4
2013-03-21,0.24,45.4
2013-03-22,0.06,41.1
2013-03-23,0.02,39.4
2013-03-24,0.00,41.2
2013-03-25,0.00,45.7
2013-03-26,0.02,48.4
2013-03-27,0.04,46.2
2013-03-28,0.03,52.3
2013-03-29,0.00,55.7
2013-03-30,0.00,56.1
2013-03-31,0.00,59.3
2013-04-01,0.00,60.0
2013-04-02,0.00,55.7
2013-04-03,0.00,54.4
2013-04-04,0.02,52.7
2013-04-05,0.18,56.6
2013-04-06,0.57,54.0
2013-04-07,0.58,51.3
2013-04-08,0.19,45.1
2013-04-09,0.00,46.6
2013-04-10,0.00,48.1
2013-04-11,0.12,49.5
2013-04-12,0.00,46.5
2013-04-13,0.10,44.9
2013-04-14,0.07,45.0
2013-04-15,0.14,44.1
2013-04-16,0.02,46.0
2013-04-17,0.00,46.7
2013-04-18,0.00,46.8
2013-04-19,0.23,52.8
2013-04-20,0.08,52.5
2013-04-21,0.00,52.1
2013-04-22,0.00,47.5
2013-04-23,0.00,51.6
2013-04-24,0.00,53.1
2013-04-25,0.00,56.6
2013-04-26,0.00,58.3
2013-04-27,0.00,61.0
2013-04-28,0.00,58.2
2013-04-29,0.06,58.2
2013-04-30,0.00,47.4
2013-05-01,0.00,45.6
2013-05-02,0.00,52.6
2013-05-03,0.00,60.8
2013-05-04,0.00,62.6
2013-05-05,0.00,65.8
2013-05-06,0.00,67.5
2013-05-07,0.00,64.4
2013-05-08,0.00,59.4
2013-05-09,0.00,56.9
2013-05-10,0.00,63.1
2013-05-11,0.00,66.1
2013-05-12,0.00,69.0
2013-05-13,0.04,63.8
2013-05-14,0.00,55.3
2013-05-15,0.00,55.4
2013-05-16,0.19,53.7
2013-05-17,0.13,54.0
2013-05-18,0.07,55.2
2013-05-19,0.13,53.8
2013-05-20,0.00,54.0
2013-05-21,0.14,57.5
2013-05-22,0.53,48.3
2013-05-23,0.37,46.1
2013-05-24,0.47,50.5
2013-05-25,0.04,52.7
2013-05-26,0.40,57.1
2013-05-27,0.26,56.7
2013-05-28,0.27,57.8
2013-05-29,0.46,57.4
2013-05-30,0.02,56.0
2013-05-31,0.02,54.4
2013-06-01,0.00,56.9
2013-06-02,0.00,60.8
2013-06-03,0.00,59.6
2013-06-04,0.00,61.1
2013-06-05,0.00,66.2
2013-06-06,0.00,68.8
2013-06-07,0.00,67.3
2013-06-08,0.00,65.2
2013-06-09,0.00,64.8
2013-06-10,0.00,60.5
2013-06-11,0.00,58.7
2013-06-12,0.02,57.8
2013-06-13,0.16,57.2
2013-06-14,0.29,53.8
2013-06-15,0.00,57.4
2013-06-16,0.00,63.7
2013-06-17,0.00,62.3
2013-06-18,0.00,62.7
2013-06-19,0.09,57.6
2013-06-20,0.16,58.0
2013-06-21,0.03,60.1
2013-06-22,0.00,60.4
2013-06-23,0.03,64.7
2013-06-24,0.28,63.4
2013-06-25,0.07,60.7
2013-06-26,0.35,63.2
2013-06-27,0.00,65.5
2013-06-28,0.00,69.8
2013-06-29,0.00,74.5
2013-06-30,0.00,74.3
2013-07-01,0.00,77.7
2013-07-02,0.00,77.1
2013-07-03,0.00,75.7
2013-07-04,0.00,69.5
2013-07-05,0.00,64.8
2013-07-06,0.00,63.3
2013-07-07,0.00,65.4
2013-07-08,0.00,66.5
2013-07-09,0.00,68.3
2013-07-10,0.00,72.9
2013-07-11,0.00,68.0
2013-07-12,0.00,63.3
2013-07-13,0.00,62.5
2013-07-14,0.00,65.8
2013-07-15,0.00,70.7
2013-07-16,0.00,70.3
2013-07-17,0.00,71.4
2013-07-18,0.00,65.7
2013-07-19,0.00,69.0
2013-07-20,0.00,69.2
2013-07-21,0.00,67.4
2013-07-22,0.00,68.6
2013-07-23,0.00,69.8
2013-07-24,0.00,74.4
2013-07-25,0.00,74.6
2013-07-26,0.00,74.2
2013-07-27,0.00,73.0
2013-07-28,0.00,65.9
2013-07-29,0.00,63.3
2013-07-30,0.00,65.2
2013-07-31,0.00,66.5
2013-08-01,0.00,67.0
2013-08-02,0.00,62.0
2013-08-03,0.00,63.6
2013-08-04,0.00,69.2
2013-08-05,0.00,73.4
2013-08-06,0.00,73.8
2013-08-07,0.00,74.7
2013-08-08,0.00,68.5
2013-08-09,0.00,69.8
2013-08-10,0.00,71.8
2013-08-11,0.12,68.7
2013-08-12,0.00,66.6
2013-08-13,0.00,64.0
2013-08-14,0.00,68.0
2013-08-15,0.00,70.8
2013-08-16,0.01,71.1
2013-08-17,0.00,70.5
2013-08-18,0.00,69.6
2013-08-19,0.00,70.5
2013-08-20,0.00,70.0
2013-08-21,0.00,68.5
2013-08-22,0.00,72.4
2013-08-23,0.08,70.6
2013-08-24,0.00,66.4
2013-08-25,0.00,65.9
2013-08-26,0.08,62.4
2013-08-27,0.06,67.5
2013-08-28,0.03,70.4
2013-08-29,0.11,69.7
2013-08-30,0.08,70.5
2013-08-31,0.00,69.4
2013-09-01,0.00,71.3
2013-09-02,0.00,69.2
2013-09-03,0.00,69.3
2013-09-04,0.00,68.6
2013-09-05,0.08,66.8
2013-09-06,2.53,62.7
2013-09-07,0.02,60.9
2013-09-08,0.00,66.7
2013-09-09,0.00,70.1
2013-09-10,0.00,70.5
2013-09-11,0.00,73.9
2013-09-12,0.00,75.1
2013-09-13,0.00,68.6
2013-09-14,0.00,65.3
2013-09-15,0.00,67.8
2013-09-16,0.00,63.1
2013-09-17,0.00,63.4
2013-09-18,0.00,60.7
2013-09-19,0.00,58.3
2013-09-20,0.00,60.9
2013-09-21,0.13,59.5
2013-09-22,0.14,58.9
2013-09-23,0.28,57.6
2013-09-24,0.38,57.3
2013-09-25,0.40,54.5
2013-09-26,0.07,53.4
2013-09-27,0.00,53.6
2013-09-28,0.42,52.4
2013-09-29,1.24,57.6
2013-09-30,1.80,53.6
2013-10-01,0.38,54.6
2013-10-02,0.11,50.8
2013-10-03,0.55,48.0
2013-10-04,0.02,48.4
2013-10-05,0.00,51.2
2013-10-06,0.00,53.8
2013-10-07,0.09,57.4
2013-10-08,0.02,55.4
2013-10-09,0.06,47.6
2013-10-10,0.00,51.5
2013-10-11,0.00,53.0
2013-10-12,0.00,51.5
2013-10-13,0.01,48.0
2013-10-14,0.00,50.7
2013-10-15,0.00,52.3
2013-10-16,0.00,53.3
2013-10-17,0.00,52.7
2013-10-18,0.00,51.6
2013-10-19,0.00,54.6
2013-10-20,0.00,53.3
2013-10-21,0.00,51.5
2013-10-22,0.00,55.6
2013-10-23,0.00,57.6
2013-10-24,0.00,56.1
2013-10-25,0.00,52.8
2013-10-26,0.00,50.4
2013-10-27,0.00,49.6
2013-10-28,0.08,49.2
2013-10-29,0.00,46.0
2013-10-30,0.00,45.6
2013-10-31,0.00,45.5
2013-11-01,0.00,51.1
2013-11-02,0.49,53.1
2013-11-03,0.21,49.3
2013-11-04,0.05,45.9
2013-11-05,0.13,47.7
2013-11-06,0.08,51.9
2013-11-07,0.32,52.9
2013-11-08,0.32,51.6
2013-11-09,0.04,46.2
2013-11-10,0.00,45.4
2013-11-11,0.00,48.9
2013-11-12,0.32,48.1
2013-11-13,0.00,52.4
2013-11-14,0.00,47.8
2013-11-15,0.03,46.5
2013-11-16,0.08,44.5
2013-11-17,0.02,47.9
2013-11-18,0.00,49.8
2013-11-19,0.69,51.4
2013-11-20,0.45,42.6
2013-11-21,0.00,37.8
2013-11-22,0.00,36.8
2013-11-23,0.00,37.4
2013-11-24,0.00,40.9
2013-11-25,0.00,39.0
2013-11-26,0.00,38.0
2013-11-27,0.00,37.1
2013-11-28,0.00,40.9
2013-11-29,0.00,40.2
2013-11-30,0.02,36.2
2013-12-01,0.05,46.1
2013-12-02,0.79,50.9
2013-12-03,0.10,39.9
2013-12-04,0.00,33.9
2013-12-05,0.00,29.2
2013-12-06,0.00,25.0
2013-12-07,0.03,25.8
2013-12-08,0.00,20.4
2013-12-09,0.00,18.5
2013-12-10,0.00,20.6
2013-12-11,0.00,27.4
2013-12-12,0.00,25.3
2013-12-13,0.13,32.3
2013-12-14,0.00,42.8
2013-12-15,0.06,39.2
2013-12-16,0.01,42.1
2013-12-17,0.02,40.1
2013-12-18,0.00,37.2
2013-12-19,0.10,35.0
2013-12-20,0.03,33.3
2013-12-21,0.04,40.6
2013-12-22,0.04,48.9
2013-12-23,0.00,48.1
2013-12-24,0.09,41.6
2013-12-25,0.02,37.3
2013-12-26,0.00,35.2
2013-12-27,0.02,33.1
2013-12-28,0.00,33.5
2013-12-29,0.00,38.1
2013-12-30,0.00,37.5
2013-12-31,0.00,37.6
2014-01-01,0.02,41.0
2014-01-02,0.02,39.2
2014-01-03,0.05,41.6
2014-01-04,0.00,37.9
2014-01-05,0.00,34.8
2014-01-06,0.00,36.6
2014-01-07,0.07,36.3
2014-01-08,0.14,43.6
2014-01-09,0.45,48.0
2014-01-10,0.12,46.1
2014-01-11,0.36,51.6
2014-01-12,0.47,47.8
2014-01-13,0.12,48.3
2014-01-14,0.00,44.9
2014-01-15,0.02,41.1
2014-01-16,0.00,37.6
2014-01-17,0.00,36.6
2014-01-18,0.00,33.8
2014-01-19,0.00,33.4
2014-01-20,0.00,34.1
2014-01-21,0.00,38.0
2014-01-22,0.00,34.9
2014-01-23,0.00,42.1
2014-01-24,0.00,43.7
2014-01-25,0.00,41.1
2014-01-26,0.00,38.6
2014-01-27,0.00,39.1
2014-01-28,0.07,36.0
2014-01-29,0.38,43.2
2014-01-30,0.02,48.3
2014-01-31,0.06,44.8
2014-02-01,0.02,43.3
2014-02-02,0.00,41.7
2014-02-03,0.00,40.3
2014-02-04,0.00,38.5
2014-02-05,0.05,30.8
2014-02-06,0.00,28.2
2014-02-07,0.25,22.9
2014-02-08,0.50,23.9
2014-02-09,0.43,29.0
2014-02-10,0.00,33.4
2014-02-11,0.20,39.5
2014-02-12,0.67,46.5
2014-02-13,0.20,51.6
2014-02-14,0.91,49.8
2014-02-15,0.19,49.2
2014-02-16,0.89,47.7
2014-02-17,0.23,45.0
2014-02-18,0.33,48.5
2014-02-19,0.61,44.7
2014-02-20,0.18,42.9
2014-02-21,0.14,44.6
2014-02-22,0.00,44.3
2014-02-23,0.00,41.1
2014-02-24,0.20,40.0
2014-02-25,0.09,47.8
2014-02-26,0.00,46.4
2014-02-27,0.02,45.2
2014-02-28,0.18,43.7
2014-03-01,0.00,50.5
2014-03-02,0.23,42.8
2014-03-03,0.60,46.9
2014-03-04,0.15,52.0
2014-03-05,0.56,54.7
2014-03-06,1.55,54.4
2014-03-07,0.20,51.3
2014-03-08,0.00,51.4
2014-03-09,0.82,49.7
2014-03-10,0.03,54.6
2014-03-11,0.00,44.5
2014-03-12,0.00,45.4
2014-03-13,0.00,49.1
2014-03-14,0.23,48.3
2014-03-15,0.05,49.9
2014-03-16,0.00,51.5
2014-03-17,0.52,50.7
2014-03-18,0.00,44.3
2014-03-19,0.00,46.1
2014-03-20,0.01,44.3
2014-03-21,0.00,42.2
2014-03-22,0.00,44.0
2014-03-23,0.00,46.3
2014-03-24,0.00,47.7
2014-03-25,0.15,52.2
2014-03-26,0.22,51.5
2014-03-27,0.63,47.8
2014-03-28,0.37,50.6
2014-03-29,0.83,50.2
2014-03-30,0.16,49.7
2014-03-31,0.15,44.4
2014-04-01,0.13,44.8
2014-04-02,0.01,46.8
2014-04-03,0.00,49.4
2014-04-04,0.34,49.4
2014-04-05,0.05,51.3
2014-04-06,0.09,51.4
2014-04-07,0.01,53.7
2014-04-08,0.00,57.6
2014-04-09,0.02,56.2
2014-04-10,0.00,51.7
2014-04-11,0.00,51.7
2014-04-12,0.00,54.2
2014-04-13,0.00,52.4
2014-04-14,0.00,55.7
2014-04-15,0.00,55.4
2014-04-16,0.03,52.2
2014-04-17,0.06,53.7
2014-04-18,0.39,46.4
2014-04-19,0.00,48.3
2014-04-20,0.06,49.2
2014-04-21,0.00,51.5
2014-04-22,0.42,54.3
2014-04-23,0.18,49.1
2014-04-24,0.82,50.2
2014-04-25,0.04,50.8
2014-04-26,0.02,45.6
2014-04-27,0.27,46.6
2014-04-28,0.18,46.8
2014-04-29,0.00,50.3
2014-04-30,0.00,59.8
2014-05-01,0.00,66.6
2014-05-02,0.00,68.3
2014-05-03,0.00,60.2
2014-05-04,0.27,54.3
2014-05-05,0.14,54.3
2014-05-06,0.04,54.9
2014-05-07,0.00,51.4
2014-05-08,0.08,51.2
2014-05-09,0.51,53.8
2014-05-10,0.34,51.4
2014-05-11,0.02,52.5
2014-05-12,0.00,54.8
2014-05-13,0.00,60.7
2014-05-14,0.00,65.8
2014-05-15,0.00,70.7
2014-05-16,0.00,64.7
2014-05-17,0.00,59.7
2014-05-18,0.11,60.7
2014-05-19,0.33,57.7
2014-05-20,0.01,58.3
2014-05-21,0.00,59.8
2014-05-22,0.00,59.6
2014-05-23,0.00,66.1
2014-05-24,0.08,62.0
2014-05-25,0.00,59.4
2014-05-26,0.00,60.1
2014-05-27,0.00,60.3
2014-05-28,0.07,57.0
2014-05-29,0.11,56.1
2014-05-30,0.00,55.9
2014-05-31,0.00,61.1
2014-06-01,0.00,61.1
2014-06-02,0.00,60.3
2014-06-03,0.00,62.7
2014-06-04,0.00,56.8
2014-06-05,0.00,59.9
2014-06-06,0.00,60.4
2014-06-07,0.00,62.9
2014-06-08,0.00,64.2
2014-06-09,0.00,66.3
2014-06-10,0.00,62.0
2014-06-11,0.00,61.4
2014-06-12,0.00,64.4
2014-06-13,0.10,58.8
2014-06-14,0.00,58.2
2014-06-15,0.00,58.4
2014-06-16,0.11,55.8
2014-06-17,0.12,56.6
2014-06-18,0.00,56.1
2014-06-19,0.00,60.8
2014-06-20,0.08,64.0
2014-06-21,0.02,59.5
2014-06-22,0.00,61.7
2014-06-23,0.00,65.7
2014-06-24,0.03,65.9
2014-06-25,0.00,66.5
2014-06-26,0.23,66.0
2014-06-27,0.36,64.8
2014-06-28,0.05,63.9
2014-06-29,0.04,63.6
2014-06-30,0.00,63.1
2014-07-01,0.00,68.8
2014-07-02,0.00,76.9
2014-07-03,0.00,70.5
2014-07-04,0.00,65.7
2014-07-05,0.00,67.9
2014-07-06,0.00,71.0
2014-07-07,0.00,73.4
2014-07-08,0.00,76.4
2014-07-09,0.00,75.9
2014-07-10,0.00,70.4
2014-07-11,0.00,70.1
2014-07-12,0.00,70.9
2014-07-13,0.00,76.6
2014-07-14,0.19,65.8
2014-07-15,0.00,74.9
2014-07-16,0.00,77.3
2014-07-17,0.00,75.4
2014-07-18,0.00,70.1
2014-07-19,0.00,67.7
2014-07-20,0.00,75.3
2014-07-21,0.00,64.8
2014-07-22,0.11,67.5
2014-07-23,0.11,67.1
2014-07-24,0.29,61.6
2014-07-25,0.01,62.4
2014-07-26,0.00,65.8
2014-07-27,0.00,69.2
2014-07-28,0.00,72.0
2014-07-29,0.00,76.2
2014-07-30,0.00,75.3
2014-07-31,0.00,73.7
2014-08-01,0.12,75.9
2014-08-02,0.00,76.6
2014-08-03,0.00,73.3
2014-08-04,0.00,74.2
2014-08-05,0.00,74.2
2014-08-06,0.00,69.6
2014-08-07,0.00,69.8
2014-08-08,0.00,69.5
2014-08-09,0.00,66.9
2014-08-10,0.00,70.1
2014-08-11,0.00,76.9
2014-08-12,0.00,80.6
2014-08-13,0.00,68.2
2014-08-14,0.03,67.5
2014-08-15,0.00,69.0
2014-08-16,0.00,69.4
2014-08-17,0.00,72.9
2014-08-18,0.00,74.9
2014-08-19,0.00,75.5
2014-08-20,0.00,74.0
2014-08-21,0.00,64.7
2014-08-22,0.00,64.8
2014-08-23,0.00,67.7
2014-08-24,0.00,70.8
2014-08-25,0.00,68.6
2014-08-26,0.00,73.7
2014-08-27,0.00,76.4
2014-08-28,0.00,75.4
2014-08-29,0.00,71.1
2014-08-30,0.02,67.3
2014-08-31,0.11,63.3
2014-09-01,0.00,63.9
2014-09-02,0.00,66.3
2014-09-03,0.00,64.6
2014-09-04,0.00,60.6
2014-09-05,0.00,66.9
2014-09-06,0.00,73.3
2014-09-07,0.00,73.3
2014-09-08,0.00,67.2
2014-09-09,0.00,63.9
2014-09-10,0.00,63.1
2014-09-11,0.00,64.7
2014-09-12,0.00,66.3
2014-09-13,0.00,67.6
2014-09-14,0.00,68.5
2014-09-15,0.00,67.8
2014-09-16,0.00,68.1
2014-09-17,0.00,65.9
2014-09-18,0.00,66.6
2014-09-19,0.03,64.3
2014-09-20,0.00,68.0
2014-09-21,0.00,74.8
2014-09-22,0.00,71.2
2014-09-23,0.01,63.2
2014-09-24,0.93,61.8
2014-09-25,0.12,61.0
2014-09-26,0.10,62.8
2014-09-27,0.00,62.8
2014-09-28,0.00,59.7
2014-09-29,0.00,63.6
2014-09-30,0.14,58.0
2014-10-01,0.00,57.4
2014-10-02,0.00,55.9
2014-10-03,0.00,57.7
2014-10-04,0.00,62.8
2014-10-05,0.00,64.8
2014-10-06,0.00,67.7
2014-10-07,0.00,69.9
2014-10-08,0.00,67.8
2014-10-09,0.00,63.2
2014-10-10,0.00,61.6
2014-10-11,0.07,59.9
2014-10-12,0.00,60.1
2014-10-13,0.00,56.2
2014-10-14,0.28,59.7
2014-10-15,0.27,56.4
2014-10-16,0.44,54.9
2014-10-17,0.14,58.6
2014-10-18,0.36,57.1
2014-10-19,0.00,63.3
2014-10-20,0.05,64.7
2014-10-21,0.24,58.2
2014-10-22,0.25,56.8
2014-10-23,1.36,56.4
2014-10-24,0.10,54.9
2014-10-25,0.43,50.5
2014-10-26,0.33,56.7
2014-10-27,0.06,52.3
2014-10-28,0.05,53.4
2014-10-29,0.16,56.9
2014-10-30,0.07,58.6
2014-10-31,1.52,56.9
2014-11-01,0.05,51.3
2014-11-02,0.01,48.0
2014-11-03,0.11,50.3
2014-11-04,0.57,54.4
2014-11-05,0.02,57.1
2014-11-06,0.02,57.5
2014-11-07,0.16,51.5
2014-11-08,0.02,48.1
2014-11-09,0.00,46.5
2014-11-10,0.01,49.5
2014-11-11,0.00,46.9
2014-11-12,0.00,43.0
2014-11-13,0.33,39.4
2014-11-14,0.74,33.7
2014-11-15,0.00,35.5
2014-11-16,0.00,35.9
2014-11-17,0.00,35.4
2014-11-18,0.00,35.8
2014-11-19,0.00,33.4
2014-11-20,0.23,41.8
2014-11-21,0.01,44.0
2014-11-22,1.01,50.7
2014-11-23,0.06,48.8
2014-11-24,0.56,48.7
2014-11-25,0.01,49.7
2014-11-26,0.00,57.9
2014-11-27,0.00,56.7
2014-11-28,0.49,56.0
2014-11-29,0.58,49.0
2014-11-30,0.03,36.8
2014-12-01,0.00,35.1
2014-12-02,0.01,34.5
2014-12-03,0.00,36.3
2014-12-04,0.42,42.6
2014-12-05,0.63,41.1
2014-12-06,0.47,46.6
2014-12-07,0.05,47.7
2014-12-08,0.01,43.5
2014-12-09,0.08,48.2
2014-12-10,0.37,57.3
2014-12-11,0.95,52.2
2014-12-12,0.13,54.2
2014-12-13,0.08,45.0
2014-12-14,0.00,41.6
2014-12-15,0.00,41.8
2014-12-16,0.06,43.6
2014-12-17,0.01,44.2
2014-12-18,0.10,43.3
2014-12-19,0.31,47.7
2014-12-20,0.71,48.2
2014-12-21,1.09,53.0
2014-12-22,0.11,52.1
2014-12-23,0.04,50.5
2014-12-24,0.84,50.2
2014-12-25,0.17,42.9
2014-12-26,0.01,44.1
2014-12-27,0.00,43.6
2014-12-28,0.24,43.1
2014-12-29,0.05,43.0
2014-12-30,0.02,35.7
2014-12-31,0.00,29.8
2015-01-01,0.00,30.8
2015-01-02,0.00,32.2
2015-01-03,0.04,32.9
2015-01-04,0.12,38.9
2015-01-05,0.03,47.0
2015-01-06,0.00,48.1
2015-01-07,0.01,42.1
2015-01-08,0.02,40.2
2015-01-09,0.00,39.5
2015-01-10,0.00,40.5
2015-01-11,0.02,39.6
2015-01-12,0.26,45.0
2015-01-13,0.05,43.2
2015-01-14,0.00,42.1
2015-01-15,0.02,39.6
2015-01-16,0.69,41.3
2015-01-17,0.24,47.1
2015-01-18,1.53,50.6
2015-01-19,0.43,50.0
2015-01-20,0.00,46.7
2015-01-21,0.00,40.3
2015-01-22,0.00,38.9
2015-01-23,0.02,44.6
2015-01-24,0.08,47.6
2015-01-25,0.02,53.1
2015-01-26,0.02,45.8
2015-01-27,0.01,45.3
2015-01-28,0.01,47.0
2015-01-29,0.00,50.7
2015-01-30,0.00,45.4
2015-01-31,0.00,43.3
2015-02-01,0.11,39.8
2015-02-02,0.51,44.5
2015-02-03,0.03,50.3
2015-02-04,0.27,46.9
2015-02-05,0.19,48.3
